Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demosuite,Chrome 122.0.0.0,,,07-03-2024 16:26:36,07-03-2024 16:27:03,26.984s,PASSED
,,,,,,,
Test Cases/Demo1,Chrome 122.0.0.0,,,07-03-2024 16:26:36,07-03-2024 16:27:03,26.678s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,07-03-2024 16:26:36,07-03-2024 16:26:52,15.197s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 122.0.0.0,,,07-03-2024 16:26:52,07-03-2024 16:26:55,3.473s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_Sign in""))",Chrome 122.0.0.0,,,07-03-2024 16:26:55,07-03-2024 16:27:00,4.488s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - Google Accounts/input_Use your Google Account_identifier""), ""aarthi200398"")",Chrome 122.0.0.0,,,07-03-2024 16:27:00,07-03-2024 16:27:01,1.823s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Sign in - Google Accounts/input_Use your Google Account_identifier""), Keys.chord(ENTER))",Chrome 122.0.0.0,,,07-03-2024 16:27:01,07-03-2024 16:27:03,1.175s,PASSED
